phase,seed,candidate,hp_bonus,eligible,baseline_cleared,candidate_cleared,clear_rate_baseline,clear_rate_candidate,clear_rate_delta,clear_delta_ci_low,clear_delta_ci_high,first_try_rate,mean_capped_load_baseline,mean_capped_load_candidate,mean_capped_load_delta,sky_stalls_baseline,sky_stalls_candidate,sky_battles_p90_baseline,sky_battles_p90_candidate,campaign_completion_baseline,campaign_completion_candidate,campaign_p90_baseline,campaign_p90_candidate,decision
discovery,85700,hp-035,0.35,167,109,115,0.652695,0.688623,0.035928,0.011976,0.065868,0.083832,45.2994,39.0958,-6.2036,10,10,249,247,0.363333,0.383333,975.2,949.8,rejected-clear-effect
discovery,85700,hp-025,0.25,167,109,123,0.652695,0.736527,0.083832,0.047904,0.125749,0.119760,45.2994,33.2156,-12.0838,10,9,249,247,0.363333,0.410000,975.2,940.3,rejected-clear-effect
discovery,85700,hp-020,0.20,167,109,126,0.652695,0.754491,0.101796,0.059880,0.149701,0.125749,45.2994,30.2096,-15.0898,10,9,249,247,0.363333,0.420000,975.2,940.3,eligible-for-holdout
holdout,85900,a59-production,0.20,159,99,123,0.622642,0.773585,0.150943,0.094340,0.207547,0.176101,44.1006,28.5975,-15.5031,12,10,250,247,0.330000,0.410000,980.3,964.0,confirmed-for-release
