stage_id,stage_name,pair_count,pairs_both_reached,baseline_campaigns_reached,current_campaigns_reached,baseline_stage_clears,current_stage_clears,failed_to_cleared,cleared_to_failed,baseline_avg_boss_attempts,current_avg_boss_attempts,avg_boss_attempts_delta,paired_avg_boss_attempts_delta,baseline_first_try_rate,current_first_try_rate,first_try_rate_delta,baseline_avg_extra_normal_wins,current_avg_extra_normal_wins,avg_extra_normal_wins_delta,paired_avg_extra_normal_wins_delta,baseline_avg_boss_turns,current_avg_boss_turns,avg_boss_turns_delta
tower,星晶の塔,300,300,300,300,261,261,0,0,29.47,29.64,0.1700000000000017,0.16,0,0,0,37.81,38.26,0.44999999999999574,0.45,5.28,5.23,-0.04999999999999982
prism_sanctuary,虹晶聖域,300,220,220,220,195,196,5,4,43.23,42.99,-0.23999999999999488,-0.24,0,0,0,92.37,92.55,0.1799999999999926,0.17,6.96,6.94,-0.019999999999999574
deep_sea_temple,深海神殿,300,190,194,196,193,193,7,7,36.3,38.77,2.470000000000006,2.65,0.015463917525773196,0,-0.015463917525773196,86.19,91.78,5.590000000000003,6.27,50.17,51.55,1.3799999999999955
sky_ruins,天空遺跡,300,143,168,167,108,109,48,47,39.56,39.6,0.03999999999999915,-1.1,0.06547619047619048,0.023952095808383235,-0.041524094667807245,94.71,90.98,-3.7299999999999898,-6.74,188.8,192.13,3.329999999999984
