candidate_id,candidate,decision,gates_passed,gates_total,rush_prism_control,rush_prism_candidate,rush_tower_control,rush_tower_candidate,campaign_completion_control,campaign_completion_candidate,p90_battles_control,p90_battles_candidate,stalled_campaigns_control,stalled_campaigns_candidate,failed_gates,scenario_hash,run_signature
mid-exp-15,通常EXP +15%,棄却,6,9,0,0,57,63,0.44,0.4,928.2,941,8,14,rush-prism-effect / collector-completion-noninferiority / campaign-stalls,cd0b986661973299a798377dd3be1f79b0c01941bfc53c65fa44633b570d3df6,070b5f57ffdbfe0fbfa244ac8aa3d49a9e21a81a8e3949bb295bfa00e932179e
mid-boss-hp-25,対象ボスHP +25%,棄却,5,9,0,0,57,81,0.44,0.3933333333333333,928.2,974.7,8,16,rush-prism-effect / collector-completion-noninferiority / campaign-p90 / campaign-stalls,b1a56cb918a9e07fa0b2f2b650858ff6ca933b5f84f5954b05c0f37d267ce849,312a7e5ff8a88d5f39c192389f2fa9aaecf46744817c849a736f2bda38a96d47
boss-defeat-exp-10,ボス敗北EXP 10%,棄却,7,9,0,0,57,75,0.44,0.43,928.2,898.3,8,14,rush-prism-effect / campaign-stalls,8e12e1928fbac003c7476d165942566f9d41850df164f425d0f29d5e15975642,742fe5cfd925c9b496bdd3eb3f3580f5312564fce591556f66420941dd16e56f
offense-emergency-heal-30,攻撃優先・緊急回復30%,棄却,7,9,0,0,57,53,0.44,0.44,928.2,928.2,8,8,rush-prism-effect / rush-tower-noninferiority,4dadd16ce35ba59af5d6bcd86b3145c477d499eed240ca53d959eb69ff343d23,b95df5ceac46027979e30d5f0f242efd7c2e30b1f931be85478c028d2753f51d
