stage_id,stage_name,version_label,comparison_order,campaigns_reached,stage_clears,avg_boss_attempts,first_try_rate,avg_extra_normal_wins,avg_boss_turns
tower,星晶の塔,8.6-A.58 対照 HP+45%,0,300,259,29.93,0.0033333333333333335,39.34,5.46
tower,星晶の塔,8.6-A.59 公開値,1,300,259,29.93,0.0033333333333333335,39.34,5.46
prism_sanctuary,虹晶聖域,8.6-A.58 対照 HP+45%,0,222,194,43.25,0,91.86,6.78
prism_sanctuary,虹晶聖域,8.6-A.59 公開値,1,222,194,43.25,0,91.86,6.78
deep_sea_temple,深海神殿,8.6-A.58 対照 HP+45%,0,193,189,38.22,0.0051813471502590676,90.98,57.42
deep_sea_temple,深海神殿,8.6-A.59 公開値,1,193,189,38.22,0.0051813471502590676,90.98,57.42
sky_ruins,天空遺跡,8.6-A.58 対照 HP+45%,0,159,99,36.99,0.09433962264150944,85.64,201.27
sky_ruins,天空遺跡,8.6-A.59 公開値,1,159,123,22.78,0.1761006289308176,50.58,204.15
